my,842,842
escort,10,20
several,51,153
laid,46,184
short,41,205
month,20,120
companion,3,21
mending,7,56
confessed,9,81
shouted,2,20
confidingly,4,44
removed,3,36
suspicions,3,39
carving,1,14
oddly,1,15
established,1,16
hesitation,1,17
cornelius,1,18
parasol,5,95
coaches,1,20
numbered,1,21
thrills,1,22
bridle,1,23
unforeseen,1,24
leapfrog,1,25
scream,1,1
quick,29,58
procession,7,21
hot,25,100
seeing,30,150
pantoufles,1,6
demeanor,2,14
worthy,12,96
respectful,8,72
smart,6,60
highly,9,99
asparagus,4,48
phenomenon,1,13
celebrated,2,28
eagles,1,15
offers,5,80
kenilworth,1,17
abdicate,1,18
amendment,1,19
wary,1,20
warerooms,1,21
melodramatic,7,7
whisking,3,6
trembling,7,21
personage,1,4
asleep,32,160
sincerest,2,12
masquerade,3,21
barred,1,8
marks,1,9
artificial,1,10
nowadays,3,33
mathematics,2,24
bewilder,1,13
rattlepated,2,28
discharge,1,15
causes,1,16
clothespins,2,34
luncheon,3,54
background,1,19
scarabei,1,20
quench,2,42
englishmen,1,22
admonitory,1,23
unrequited,1,24
vive,1,25
rosebud,2,52
effigy,1,27
endurable,1,28
clapped,7,7
gloomy,3,6
paris,12,36
finishing,8,32
glancing,4,20
neither,27,162
folding,4,28
whipped,1,8
translation,1,9
exultation,1,10
praiseworthy,5,55
madame,10,120
apology,5,65
fairer,4,56
rosiest,2,30
complimented,2,32
scrub,1,17
emil,4,72
fort,2,38
matches,2,40
disguise,1,21
unanswerable,1,22
sauciest,1,23
how,351,351
morning,64,128
hastily,11,33
threw,18,72
dashes,2,10
ludicrous,3,18
places,10,70
relished,1,8
companionship,1,9
pour,2,20
messages,5,55
nge,1,12
vaughns,5,65
effectually,4,56
confirm,1,15
largest,1,16
decision,7,119
vale,1,18
crumbs,2,38
drooping,1,20
hugo,9,9
supper,22,44
cricket,11,33
fragrant,4,16
ceiling,1,5
sire,3,18
cushion,7,49
gentlemen,27,216
treacherous,1,9
experiences,7,70
disdainful,1,11
patronizing,4,48
clustered,1,13
aunts,9,126
wrathful,3,45
scenes,7,112
groceries,1,17
empress,1,18
pinafores,2,38
gradually,4,80
desolated,1,21
agrees,2,44
chains,4,4
came,271,542
ladder,5,15
pate,1,4
insulted,3,15
blushing,4,24
marriage,5,35
remonstrated,1,8
assurances,3,27
beforehand,3,30
marole,1,11
honesty,2,24
privileges,1,13
pharaohs,1,14
duly,1,15
saleswomen,1,16
meerschaum,2,34
hans,1,18
imposing,2,38
healthfully,1,20
recollections,2,42
shaking,15,15
tragedian,1,2
baskets,4,12
heads,21,84
eagerly,5,25
playbill,1,6
around,6,42
wisdom,6,48
carved,3,27
gratified,7,70
served,6,66
pursed,1,12
sixty,3,39
awe,1,14
moan,3,45
statuary,1,16
concoction,1,17
scenery,3,54
manliest,1,19
paired,1,20
erste,1,21
getting,67,67
play,59,118
laughed,79,237
rumpling,4,16
hope,83,415
fastened,6,36
immense,6,42
capers,1,8
drank,5,45
spectators,3,30
berries,2,22
pine,1,12
wedding,22,286
fitness,1,14
metaphysical,3,45
ecstatically,1,16
bluntness,1,17
blames,1,18
humbug,1,19
pyre,1,20
practice,9,9
mysteriously,4,8
worry,17,51
peeped,13,52
path,10,50
bottles,3,18
honest,12,84
entered,7,56
pains,2,18
refreshing,7,70
bruises,2,22
goin,1,12
indian,3,39
pummelled,1,14
hugs,1,15
evaded,1,16
relinquished,2,34
multitude,1,18
alteration,1,19
unscathed,1,20
opens,3,63
friendless,1,22
prim,14,14
lisp,1,2
ohs,1,3
impressively,3,12
appetite,4,20
broad,7,42
autumn,5,35
paint,4,32
pianee,1,9
semi,1,10
perusal,1,11
blanketed,1,12
cuff,2,26
poet,1,14
age,18,18
rose,40,80
hummels,8,24
performances,5,20
apiece,4,20
burning,7,42
subsided,9,63
relented,2,16
hornpipe,1,9
idleness,1,10
longings,2,22
penances,1,12
aunty,3,39
expound,1,14
balky,1,15
laundrywoman,1,16
leaved,1,17
chestnut,8,8
brother,9,18
streets,3,9
masterpiece,1,4
merely,22,110
strongly,4,24
homely,3,21
sidling,1,8
affirms,1,9
fortitude,1,10
greatness,1,11
frere,1,12
street,20,20
gruel,1,2
front,11,33
flourished,6,24
anywhere,11,55
volcanic,1,6
funeral,6,42
situated,2,16
coffeepot,2,18
traveled,2,20
moat,1,11
sleeplessness,1,12
frame,6,78
threshold,4,56
shepherd,2,30
sports,1,16
agricultural,1,17
presiding,1,18
saxon,1,19
simmer,1,20
envying,1,1
hatred,2,4
pink,13,39
tutor,10,40
sometimes,43,215
waiter,1,6
crushed,4,28
theaters,5,40
dumb,3,27
preceded,1,10
thursday,5,55
presided,4,48
wry,2,26
plank,1,14
tops,2,30
published,1,16
rejected,2,34
sprinkled,1,18
cheops,1,19
located,1,20
veal,1,21
dressmaking,1,22
spritely,1,23
joyfully,3,72
berne,2,50
tete,2,52
list,1,27
nerve,1,28
despicable,1,29
dress,76,76
hagar,11,22
inquiries,5,15
lent,4,16
carry,22,110
armor,2,12
pronounce,1,7
college,20,160
wash,14,126
joanna,6,60
conceit,2,22
surveyed,4,48
midsummer,3,39
bandanna,2,28
partial,1,15
firmness,2,32
snubs,1,17
thorn,2,36
structure,2,38
peddling,1,20
truly,26,26
closet,17,34
redder,6,18
beating,3,12
observation,5,25
wreaths,2,12
tablecloth,1,7
violently,3,24
splendidly,4,36
jewels,2,20
washin,1,11
afflatus,1,12
dine,1,13
ventures,1,14
preventive,1,15
forcibly,1,16
stonyhearted,1,17
columella,1,18
winey,1,19
does,86,86
season,6,12
camp,8,24
seams,1,4
accompaniment,2,10
instant,11,66
natured,9,63
velour,1,8
cordially,3,27
caused,21,210
straps,1,11
engaged,8,96
tracy,1,13
named,4,56
capturing,1,15
surprisin,1,16
rambler,2,34
absorbing,4,72
gentlewoman,3,57
kearney,2,40
rothschilds,1,21
applicable,1,22
squabbled,1,23
servants,12,12
aware,2,4
princes,1,3
toe,1,4
meek,4,20
stock,3,18
saintly,4,28
unquenchables,1,8
outsiders,2,18
expatiating,1,10
mainspring,1,11
bachelorhood,1,12
alternations,1,13
delved,1,14
expects,2,30
closer,1,16
blonde,3,51
vladimir,1,18
unfold,1,19
vehement,1,20
defects,1,21
lions,4,4
led,24,48
expensive,2,6
forced,5,20
luxury,11,55
brighten,4,24
wearing,7,49
platform,2,16
uncovered,2,18
exulted,5,50
judged,2,22
weekly,10,120
pearls,5,65
holes,2,28
coldly,2,30
stints,1,16
dashed,2,34
addressed,1,18
placed,3,57
gentler,1,20
sidle,1,21
umbrellas,2,44
election,1,23
donkeys,1,24
kernal,2,50
righted,1,26
girl,116,116
worse,20,40
fight,11,33
afford,5,20
prolonged,1,5
learn,45,270
agreed,15,105
mange,5,40
requests,1,9
skirmishes,4,40
quarrel,7,77
redden,1,12
lee,1,13
flung,1,14
conjured,1,15
soaps,1,16
smash,1,17
lisping,1,18
appointed,2,38
pats,1,20
wonders,2,42
imperturbable,1,22
enlightenment,1,23
no,533,533
great,186,372
ago,31,93
evident,9,36
glove,12,60
spilled,1,6
comforts,8,56
reproof,2,16
earthly,3,27
ached,4,40
rock,1,11
weeping,1,12
quoting,4,52
rubens,1,14
effalunt,2,30
impetuositys,1,16
reminders,1,17
quite,181,181
pins,8,16
disappointed,25,75
travel,5,20
plans,22,110
comforting,3,18
pardon,26,182
remarkable,8,64
flinching,1,9
domestic,12,120
benignly,4,44
final,3,36
specter,1,13
cabbages,1,14
leg,3,45
proposal,1,16
baptizing,1,17
befall,1,18
briton,1,19
robert,1,20
lessin,1,21
colic,1,22
cakies,2,46
pouring,1,24
things,212,212
blamed,2,4
person,22,66
guidebook,4,16
appear,9,45
cheap,6,36
cover,16,112
ordered,20,160
polite,6,54
stare,4,40
carefully,23,253
maps,3,36
godmother,2,26
plant,1,14
pint,1,15
exclaim,5,80
beginners,2,34
brighter,2,36
senna,1,19
publishers,2,40
actions,2,42
rebelliously,3,66
york,4,92
oranges,2,48
foretaste,1,25
liebe,1,26
piminy,1,1
especial,11,22
drafted,1,3
dangers,1,4
writers,1,5
spell,7,42
hired,1,7
ups,1,8
notice,10,90
god,32,320
tearing,4,44
heavens,2,24
